Black footed Albatross	The black-footed albatross (Phoebastria nigripes) is a large seabird of the albatross family Diomedeidae from the North Pacific. All but 2.5% of the population is found among the Northwestern Hawaiian Islands. It is one of three species of albatross that range in the northern hemisphere, nesting on isolated tropical islands. Unlike many albatrosses, it is dark plumaged.	Black-footed albatross/Laysan albatross/Albatross/North Pacific albatross/Alicella/Wisdom (albatross)/African penguin/Short-tailed albatross/List of procellariiformes/Amphipoda				
Laysan Albatross	The Laysan albatross (Phoebastria immutabilis) is a large seabird that ranges across the North Pacific. The Northwestern Hawaiian Islands are home to 99.7% of the population. This small (for its family) gull-like albatross is the second-most common seabird in the Hawaiian Islands, with an estimated population of 2.5 million birds, and is currently expanding (or possibly re-expanding) its range to new islands. The Laysan albatross was first described as Diomedea immutabilis by Lionel Walter Rothschild, in 1893, on the basis of a specimen from Laysan Island.  	Laysan albatross/Albatross/Wisdom (albatross)/Laysan/Homosexual behavior in animals/Midway Atoll/Black-footed albatross/North Pacific albatross/Laysan rail/Short-tailed albatross				
Sooty Albatross	The sooty albatross, dark-mantled sooty albatross or dark-mantled albatross, (Phoebetria fusca), is a species of bird in the albatross family.  They breed on sub-Antarctic islands and range at sea across the Southern Ocean from South America to Australia.	Sooty albatross/Albatross/Light-mantled albatross/Great albatross/Drake Passage/List of birds of Antarctica/Mollymawk/Phoebetria/Birds of Macquarie Island/List of birds of Kangaroo Island, South Australia				
Groove billed Ani	The groove-billed ani (Crotophaga sulcirostris) is a tropical bird in the cuckoo family with a long tail and a large, curved beak. It is a resident species throughout most of its range, from southern Texas, central Mexico and The Bahamas, through Central America, to northern Colombia and Venezuela, and coastal Ecuador and Peru. It only retreats from the northern limits of its range in Texas and northern Mexico during winter. The groove-billed ani is about 34 cm (13 in) long, and weighs 70–90 g (2.5–3.2 oz). Wingspan ranges from 41-46 cm (16-18 in). It is completely black, with a very long tail almost as long as its body. It has a huge bill with lengthwise grooves running the length of the upper mandible. It is very similar to the smooth-billed ani, some specimens of which have bills as small as the groove-billed and with grooves on the basal half. The two species are best distinguished by voice and range. In flight, the ani alternates between quick, choppy flaps and short glides.  Like other anis, the groove-billed is found in open and partly open country, such as pastures, savanna, and orchards. It feeds largely on a mixed diet of insects, seeds, and fruits. The groove-billed ani lives in small groups of one to five breeding pairs. They defend a single territory and lay their eggs in one communal nest. All group members incubate the eggs and care for the young.	Groove-billed ani/Smooth-billed ani/Crotophaginae/Ani (bird)/Fauna of Illinois/List of birds of Florida/List of extinct bird species since 1500/List of birds of Michigan/Bosque del Apache National Wildlife Refuge/List of birds of Louisiana				
Crested Auklet	The crested auklet (Aethia cristatella) is a small seabird of the family Alcidae, distributed throughout the northern Pacific and the Bering Sea.  The species feeds by diving in deep waters, eating krill and a variety of small marine animals. It nests in dense colonies of up to 1 million individuals in the Bering Sea and the Sea of Okhotsk.  It often breeds in mixed-species colonies with the least auklet, a smaller congener. The species is known for its sexual ornaments, found in both males and females. These include colorful plumage with a forehead crest, a striking scent recalling citrus fruit, and a loud trumpet call, all of which appear to have evolved through sexual selection. The total population is around 6 million, almost half in North America. It is in general considered to be of least concern, though the Alaskan population faces additional threats from predation and oil spills.	Crested auklet/Parakeet auklet/Auk/Aethia/Semisopochnoi Island/Least auklet/Atlantic puffin/Fairway Rock/Seabird/List of birds by common name				
Least Auklet	The least auklet (Aethia pusilla) is a seabird and the smallest species of auk. It is the most abundant seabird in North America, and one of the most abundant in the world, with a population of around nine million birds. They breed on the islands of Alaska and Siberia, and spend the winter close to the edge of the ice sheet.  Their largest colonies are on the Aleutian Islands, St. Lawrence Island and Little Diomede Island.	Least auklet/Auk/Crested auklet/Parakeet auklet/Rhinoceros auklet/Aethia/Semisopochnoi Island/Atlantic puffin/Whiskered auklet/Chionophile				
Parakeet Auklet	The parakeet auklet (Aethia psittacula) is a small seabird of the North Pacific. Parakeet Auklets used to be placed on its own in the genus Cyclorrhynchus (Kaup, 1829) but recent morphological and genetic evidence suggest it should be placed in the genus Aethia, making them closely related to crested auklets and least auklets. It is associated with the boreal waters of Alaska, Kamchatka and Siberia. It breeds on the cliffs, slopes and boulder fields of offshore islands, generally moving south during the winter.	Parakeet auklet/Auk/Aethia/List of birds by common name/Atlantic puffin/List of birds of Japan/Yam Islands/List of birds of Washington (state)/North Carolina Zoo/List of birds of North America				
Rhinoceros Auklet	The rhinoceros auklet (Cerorhinca monocerata) is a seabird and a close relative of the puffins. It is the only extant species of the genus Cerorhinca. Given its close relationship with the puffins, the common name rhinoceros puffin has been proposed for the species.It ranges widely across the North Pacific, feeding on small fish and nesting in colonies. Its name is derived from a horn-like extension of the beak (the anatomic term for this extension is the rhamphotheca). This horn is only present in breeding adults, and like the elaborate sheath on the bill of puffins is shed every year. This horn also processes fluorescent properties, which is likely involved in reproductive signalling. The rhinoceros auklet (also known as the rhino auklet, horn-billed puffin, or unicorn puffin), is a medium-sized auk with a large, strong, orange/brown bill (with the 'horn' protruding from it). The plumage is dark on top and paler below; breeding adults (both male and female) possess white plumes above the eyes and behind the bill. Males are slightly larger than females (about 10% in mass).	Rhinoceros auklet/Auk/Puffin/Atlantic puffin/Tufted puffin/Farallon Islands/Destruction Island/Oregon Coast Aquarium/Año Nuevo Island/Bird				
Brewer Blackbird	Brewer's blackbird (Euphagus cyanocephalus) is a medium-sized New World blackbird. It is named after the ornithologist Thomas Mayo Brewer.	Brewer's blackbird/Rusty blackbird/Cody Blackbird/Blackbird Leys/Thomas Mayo Brewer/Icterid/Euphagus/List of American films of 2020/Powell Buttes/Billy the Kid Trail				
Red winged Blackbird	The red-winged blackbird (Agelaius phoeniceus) is a passerine bird of the family Icteridae found in most of North America and much of Central America. It breeds from Alaska and Newfoundland south to Florida, the Gulf of Mexico, Mexico, and Guatemala, with isolated populations in western El Salvador, northwestern Honduras, and northwestern Costa Rica. It may winter as far north as Pennsylvania and British Columbia, but northern populations are generally migratory, moving south to Mexico and the southern United States. Claims have been made that it is the most abundant living land bird in North America, as bird-counting censuses of wintering red-winged blackbirds sometimes show that loose flocks can number in excess of a million birds per flock and the full number of breeding pairs across North and Central America may exceed 250 million in peak years. It also ranks among the best-studied wild bird species in the world. The red-winged blackbird is sexually dimorphic; the male is all black with a red shoulder and yellow wing bar, while the female is a nondescript dark brown. Seeds and insects make up the bulk of the red-winged blackbird's diet.	Red-winged blackbird/Common blackbird/Icterid/Red-breasted meadowlark/Yellow-winged blackbird/Yellow-headed blackbird/Polygyny threshold model/Rusty blackbird/Grey-winged blackbird/Wildlife of Missouri				
